Z,Material,Min Dose,Error,At PE %,Max Dose,Error,At PE %,Dose at 0% PE,Error,Dose at 100% PE,Error
64,Gd,0.2914,0.0012,100,0.6544,0.0020,0,0.6544,0.0020,0.2914,0.0012
65,Tb,0.2915,0.0012,100,0.6588,0.0020,0,0.6588,0.0020,0.2915,0.0012
66,Dy,0.2945,0.0011,100,0.6644,0.0018,0,0.6644,0.0018,0.2945,0.0011
67,Ho,0.2909,0.0011,100,0.6688,0.0019,0,0.6688,0.0019,0.2909,0.0011
68,Er,0.2935,0.0011,100,0.6716,0.0019,0,0.6716,0.0019,0.2935,0.0011
69,Tm,0.2900,0.0011,100,0.6740,0.0019,0,0.6740,0.0019,0.2900,0.0011
70,Yb,0.2927,0.0012,100,0.6855,0.0021,0,0.6855,0.0021,0.2927,0.0012
71,Lu,0.2903,0.0011,100,0.6880,0.0021,0,0.6880,0.0021,0.2903,0.0011
72,Hf,0.2919,0.0011,100,0.6958,0.0020,0,0.6958,0.0020,0.2919,0.0011
73,Ta,0.2935,0.0012,100,0.7003,0.0021,0,0.7003,0.0021,0.2935,0.0012
74,W,0.2893,0.0012,100,0.7056,0.0021,0,0.7056,0.0021,0.2893,0.0012
75,Re,0.2932,0.0012,100,0.7077,0.0021,0,0.7077,0.0021,0.2932,0.0012
76,Os,0.2935,0.0012,100,0.7147,0.0021,0,0.7147,0.0021,0.2935,0.0012
77,Ir,0.2919,0.0010,100,0.7163,0.0019,0,0.7163,0.0019,0.2919,0.0010
78,Pt,0.2918,0.0012,100,0.7261,0.0022,0,0.7261,0.0022,0.2918,0.0012
79,Au,0.2903,0.0013,100,0.7282,0.0023,0,0.7282,0.0023,0.2903,0.0013
80,Hg,0.2908,0.0012,100,0.7297,0.0023,0,0.7297,0.0023,0.2908,0.0012
81,Tl,0.2909,0.0013,100,0.7363,0.0023,0,0.7363,0.0023,0.2909,0.0013
82,Pb,0.2911,0.0012,100,0.7416,0.0023,0,0.7416,0.0023,0.2911,0.0012
83,Bi,0.2915,0.0011,100,0.7380,0.0021,0,0.7380,0.0021,0.2915,0.0011
84,Po,0.2903,0.0011,100,0.7296,0.0019,0,0.7296,0.0019,0.2903,0.0011
85,At,0.2904,0.0011,100,0.7223,0.0019,0,0.7223,0.0019,0.2904,0.0011
86,Rn,0.2929,0.0014,100,10.456,0.012,0,10.456,0.012,0.2929,0.0014
87,Fr,0.2895,0.0012,100,0.7565,0.0023,0,0.7565,0.0023,0.2895,0.0012
88,Ra,0.2891,0.0011,100,0.7564,0.0021,0,0.7564,0.0021,0.2891,0.0011
89,Ac,0.2920,0.0011,100,0.7575,0.0020,0,0.7575,0.0020,0.2920,0.0011
90,Th,0.2922,0.0011,100,0.7661,0.0020,0,0.7661,0.0020,0.2922,0.0011
91,Pa,0.2903,0.0011,100,0.7642,0.0020,0,0.7642,0.0020,0.2903,0.0011
92,U,0.2928,0.0011,100,0.7809,0.0020,0,0.7809,0.0020,0.2928,0.0011
93,Np,0.2912,0.0011,100,0.7721,0.0020,0,0.7721,0.0020,0.2912,0.0011
94,Pu,0.2928,0.0011,100,0.7908,0.0020,0,0.7908,0.0020,0.2928,0.0011
95,Am,0.2913,0.0011,100,0.7809,0.0020,0,0.7809,0.0020,0.2913,0.0011
96,Cm,0.2917,0.0010,100,0.7855,0.0020,0,0.7855,0.0020,0.2917,0.0010
97,Bk,0.2892,0.0011,100,0.7853,0.0021,0,0.7853,0.0021,0.2892,0.0011
98,Cf,0.2914,0.0011,100,0.7920,0.0021,0,0.7920,0.0021,0.2914,0.0011
